 50 5 120
0 2 4 14
1 98 70 5
2 88 78 13
3 20 49 15
4 14 77 16
5 19 47 1
6 77 38 20
7 54 53 18
8 98 13 6
9 41 47 19
10 40 63 16
11 44 98 3
12 16 60 3
13 44 43 9
14 35 56 6
15 18 47 9
16 93 29 18
17 24 7 19
18 7 23 11
19 86 12 10
20 64 33 18
21 15 8 10
22 11 7 12
23 17 18 5
24 32 68 8
25 72 97 6
26 62 68 4
27 83 62 13
28 55 40 2
29 30 86 4
30 2 5 11
31 76 69 6
32 46 38 5
33 23 26 4
34 82 24 7
35 91 36 14
36 89 42 19
37 84 72 9
38 69 50 19
39 75 73 16
40 79 86 3
41 99 51 15
42 68 79 2
43 52 37 17
44 79 56 9
45 41 10 20
46 60 77 17
47 12 61 7
48 97 37 14
49 70 75 14

