 50 5 120
0 2 82 8
1 33 60 12
2 84 15 4
3 41 21 10
4 8 17 10
5 13 73 16
6 51 66 16
7 56 74 9
8 8 63 11
9 55 17 3
10 17 12 12
11 55 85 3
12 93 74 18
13 21 64 10
14 20 95 15
15 83 19 20
16 82 47 6
17 61 50 17
18 29 38 12
19 38 89 13
20 23 91 11
21 22 87 17
22 1 82 13
23 14 20 2
24 52 92 12
25 72 11 13
26 97 22 12
27 50 41 2
28 20 65 12
29 35 89 13
30 76 34 11
31 14 42 5
32 97 5 12
33 57 55 16
34 51 98 9
35 88 51 14
36 37 33 6
37 80 95 6
38 18 12 14
39 91 74 20
40 17 29 20
41 44 82 17
42 48 1 2
43 3 72 18
44 37 68 15
45 100 45 8
46 57 22 13
47 20 75 18
48 99 42 16
49 45 86 2

