 50 5 120
0 2 62 3
1 80 25 14
2 36 88 1
3 57 23 14
4 33 17 19
5 76 43 2
6 77 85 14
7 94 6 6
8 89 11 7
9 59 72 6
10 39 82 10
11 87 24 18
12 44 76 3
13 2 83 6
14 19 43 20
15 5 27 4
16 58 72 14
17 14 50 11
18 43 18 19
19 87 7 15
20 11 56 15
21 31 16 4
22 51 94 13
23 55 13 13
24 84 57 5
25 12 2 16
26 53 33 3
27 53 10 7
28 33 32 14
29 69 67 17
30 43 5 3
31 10 75 3
32 8 26 12
33 3 1 14
34 96 22 20
35 6 48 13
36 59 22 10
37 66 69 9
38 22 50 6
39 75 21 18
40 4 81 7
41 41 97 20
42 92 34 9
43 12 64 1
44 60 84 8
45 35 100 5
46 38 2 1
47 9 9 7
48 54 59 9
49 1 58 2

