 50 5 120
0 26 33 2
1 25 62 17
2 90 11 7
3 39 72 5
4 70 18 12
5 92 71 13
6 82 24 16
7 83 5 12
8 56 40 18
9 89 28 8
10 56 88 8
11 29 41 4
12 26 41 12
13 30 50 20
14 4 58 11
15 13 78 3
16 50 92 5
17 42 69 12
18 87 41 20
19 5 68 4
20 27 64 6
21 11 67 13
22 52 88 19
23 36 49 7
24 64 87 3
25 42 63 2
26 19 83 13
27 49 26 7
28 22 20 4
29 45 32 9
30 36 20 3
31 61 95 8
32 33 93 20
33 34 82 4
34 3 82 4
35 51 5 6
36 80 61 18
37 43 64 3
38 64 10 16
39 63 78 17
40 49 43 14
41 72 34 19
42 71 60 20
43 27 54 20
44 55 52 17
45 33 46 20
46 12 66 19
47 2 95 14
48 24 29 19
49 36 7 6

