 50 5 120
0 1 46 4
1 16 15 16
2 39 67 6
3 82 75 16
4 95 38 12
5 62 52 19
6 77 92 6
7 14 100 9
8 7 16 4
9 23 23 12
10 40 43 1
11 1 73 9
12 88 44 4
13 86 2 11
14 51 69 12
15 30 68 14
16 28 87 2
17 34 63 7
18 72 27 3
19 84 18 5
20 16 9 1
21 99 1 15
22 72 20 11
23 79 22 18
24 79 79 12
25 32 92 15
26 72 3 5
27 12 14 20
28 78 49 10
29 90 5 11
30 60 4 19
31 43 64 9
32 85 50 19
33 44 50 14
34 67 27 13
35 76 25 15
36 19 63 9
37 2 75 10
38 16 50 13
39 75 26 14
40 53 91 20
41 57 4 10
42 44 24 16
43 92 10 13
44 98 28 11
45 47 20 14
46 83 52 13
47 14 12 7
48 40 14 18
49 39 93 5

