 50 5 120
0 6 29 11
1 84 85 12
2 44 25 8
3 27 68 12
4 45 43 2
5 55 89 12
6 64 73 20
7 80 85 5
8 53 52 14
9 29 46 11
10 22 22 7
11 99 87 3
12 51 22 11
13 17 49 11
14 76 63 12
15 94 38 18
16 5 23 2
17 29 70 20
18 38 84 9
19 30 69 15
20 7 87 20
21 37 45 14
22 55 60 3
23 73 53 4
24 16 75 18
25 57 96 8
26 69 28 17
27 53 33 14
28 79 29 12
29 46 6 2
30 41 71 10
31 54 87 2
32 7 13 11
33 30 28 11
34 41 76 3
35 15 39 4
36 36 59 10
37 33 47 7
38 10 6 5
39 51 11 20
40 38 99 17
41 38 78 14
42 94 48 7
43 98 25 14
44 19 94 17
45 64 13 14
46 37 69 16
47 70 45 11
48 73 56 17
49 55 10 14

