 50 5 120
0 17 71 10
1 56 13 17
2 40 29 20
3 53 6 2
4 45 25 12
5 82 65 8
6 47 80 13
7 60 70 11
8 39 65 7
9 67 93 3
10 84 6 6
11 86 18 5
12 80 42 10
13 82 34 17
14 20 95 18
15 85 75 7
16 10 90 10
17 73 100 3
18 15 36 7
19 65 51 5
20 57 46 4
21 73 12 20
22 58 65 3
23 84 73 4
24 35 51 19
25 38 73 6
26 70 89 17
27 70 56 5
28 7 63 6
29 93 90 10
30 77 14 15
31 55 18 15
32 17 45 6
33 4 38 7
34 57 64 20
35 26 45 16
36 93 62 1
37 63 68 19
38 48 90 2
39 100 94 16
40 17 59 9
41 100 57 2
42 29 81 19
43 15 39 4
44 69 44 15
45 4 4 5
46 69 61 4
47 39 67 5
48 29 58 18
49 70 69 19

