 50 5 120
0 9 59 15
1 5 26 1
2 66 78 19
3 18 75 12
4 70 88 11
5 98 63 19
6 9 81 5
7 13 50 10
8 19 83 16
9 85 3 1
10 40 47 3
11 14 31 8
12 8 50 6
13 2 51 1
14 63 98 8
15 44 39 6
16 80 39 10
17 86 3 7
18 44 42 6
19 65 47 16
20 32 61 16
21 63 33 19
22 80 24 13
23 59 64 8
24 38 4 11
25 62 25 19
26 39 58 17
27 29 71 2
28 48 45 18
29 49 49 1
30 58 61 5
31 8 87 17
32 49 50 15
33 77 84 17
34 25 75 6
35 100 92 9
36 3 70 10
37 54 77 2
38 16 89 2
39 29 85 6
40 46 37 19
41 32 57 14
42 9 49 13
43 18 86 14
44 58 41 4
45 14 80 15
46 65 63 10
47 72 91 11
48 7 13 14
49 78 28 10

