 50 5 120
0 3 60 1
1 68 49 19
2 81 53 16
3 62 94 6
4 1 57 5
5 7 98 10
6 24 94 12
7 59 95 1
8 19 13 16
9 70 86 7
10 94 60 8
11 66 72 2
12 70 88 13
13 98 85 10
14 4 34 4
15 47 90 11
16 71 64 13
17 97 94 16
18 51 53 13
19 91 66 16
20 83 50 4
21 30 65 4
22 90 57 13
23 11 21 18
24 72 17 17
25 72 26 20
26 32 76 1
27 18 21 11
28 84 89 2
29 41 93 3
30 51 64 12
31 51 14 3
32 47 72 19
33 90 83 8
34 21 73 12
35 86 65 15
36 86 23 14
37 76 17 3
38 67 74 9
39 7 75 4
40 55 72 17
41 89 13 20
42 28 24 1
43 54 6 20
44 94 81 1
45 59 79 16
46 54 68 9
47 28 89 9
48 1 46 18
49 21 97 10

