 50 5 120
0 13 11 20
1 36 98 9
2 18 51 15
3 39 1 15
4 89 88 8
5 33 36 11
6 6 80 5
7 46 82 19
8 21 78 6
9 92 56 6
10 21 17 19
11 4 70 17
12 80 79 3
13 31 5 5
14 93 24 12
15 56 52 8
16 50 72 6
17 1 23 11
18 8 69 20
19 42 16 2
20 62 78 20
21 47 6 7
22 22 79 14
23 10 84 6
24 51 59 13
25 37 63 12
26 11 38 10
27 13 41 5
28 36 60 7
29 62 65 11
30 24 32 11
31 65 57 20
32 9 5 13
33 5 87 7
34 65 30 16
35 66 1 20
36 51 21 6
37 77 47 20
38 91 18 20
39 3 51 1
40 63 23 10
41 19 38 1
42 27 69 8
43 8 98 15
44 19 27 8
45 81 49 9
46 1 63 10
47 99 39 20
48 30 17 6
49 62 89 7

