 100 10 120
0 6 5 12
1 36 29 7
2 61 45 1
3 97 80 11
4 51 74 1
5 11 81 3
6 18 92 4
7 28 89 18
8 25 3 12
9 98 60 17
10 3 33 12
11 84 21 13
12 88 7 10
13 37 31 8
14 78 39 13
15 59 91 17
16 87 5 14
17 5 41 19
18 80 95 2
19 7 53 1
20 11 77 5
21 25 7 8
22 8 6 12
23 52 12 19
24 63 71 15
25 33 2 15
26 31 54 18
27 69 29 3
28 50 52 1
29 21 30 12
30 14 86 9
31 33 25 6
32 94 91 2
33 42 1 18
34 59 60 12
35 36 69 19
36 61 3 14
37 88 96 15
38 73 22 9
39 72 69 12
40 7 26 2
41 38 24 2
42 45 36 6
43 99 52 7
44 48 44 12
45 70 76 18
46 51 50 17
47 53 40 18
48 39 55 19
49 47 73 19
50 70 15 5
51 50 15 13
52 83 79 7
53 67 4 18
54 23 41 17
55 41 85 1
56 50 16 19
57 83 64 9
58 30 95 14
59 47 39 12
60 20 41 1
61 97 76 4
62 88 49 7
63 54 97 2
64 44 51 17
65 14 19 19
66 60 70 20
67 83 52 13
68 18 42 1
69 71 39 6
70 94 49 8
71 28 8 12
72 88 49 17
73 33 60 5
74 50 83 15
75 57 14 18
76 58 11 11
77 57 87 7
78 52 88 1
79 89 83 2
80 31 92 1
81 26 2 10
82 61 68 3
83 37 15 8
84 60 41 17
85 51 55 11
86 56 20 5
87 19 11 4
88 21 95 9
89 42 48 6
90 48 89 11
91 37 71 14
92 6 31 6
93 47 12 13
94 2 58 4
95 27 4 18
96 28 54 16
97 61 81 7
98 79 91 10
99 78 13 4

