 100 10 120
0 90 32 5
1 82 53 19
2 90 60 13
3 22 98 12
4 72 67 14
5 71 22 20
6 63 76 11
7 67 85 1
8 86 36 14
9 63 7 17
10 34 38 5
11 71 22 20
12 95 32 18
13 13 77 16
14 79 62 13
15 35 4 12
16 77 8 6
17 97 16 20
18 60 77 20
19 26 2 8
20 89 8 16
21 9 10 14
22 99 72 20
23 56 55 15
24 90 78 11
25 68 83 20
26 10 30 2
27 79 92 16
28 39 76 17
29 59 69 9
30 3 62 10
31 9 10 9
32 61 74 3
33 74 32 17
34 64 30 17
35 53 87 18
36 76 58 13
37 88 36 5
38 92 69 16
39 65 50 2
40 5 15 10
41 44 46 9
42 12 92 3
43 20 69 16
44 40 17 16
45 62 82 5
46 57 3 11
47 3 16 7
48 83 3 6
49 62 13 8
50 16 96 9
51 22 47 4
52 54 45 5
53 11 100 13
54 52 43 2
55 34 48 5
56 70 19 13
57 82 72 6
58 87 89 14
59 91 4 7
60 89 60 17
61 41 58 10
62 60 26 8
63 13 31 4
64 26 16 17
65 45 54 6
66 47 74 11
67 63 37 20
68 36 97 19
69 60 38 1
70 60 45 1
71 61 37 15
72 64 12 1
73 2 26 12
74 1 7 14
75 99 6 19
76 70 5 7
77 92 78 14
78 100 41 9
79 86 73 5
80 17 83 5
81 31 36 15
82 5 89 10
83 6 72 3
84 26 38 7
85 97 21 8
86 61 98 5
87 98 19 18
88 9 60 9
89 56 57 15
90 36 59 15
91 52 46 4
92 60 51 15
93 92 54 4
94 31 35 1
95 28 74 3
96 23 21 1
97 62 27 10
98 56 89 12
99 88 29 20

