 100 10 120
0 3 60 4
1 68 49 8
2 81 53 9
3 62 94 12
4 1 57 10
5 7 98 14
6 24 94 14
7 59 95 12
8 19 13 1
9 70 86 3
10 94 60 20
11 66 72 17
12 70 88 11
13 98 85 14
14 4 34 19
15 47 90 10
16 71 64 12
17 97 94 16
18 51 53 13
19 91 66 14
20 83 50 2
21 30 65 12
22 90 57 17
23 11 21 4
24 72 17 13
25 72 26 3
26 32 76 10
27 18 21 6
28 84 89 3
29 41 93 20
30 51 64 1
31 51 14 3
32 47 72 8
33 90 83 4
34 21 73 18
35 86 65 5
36 86 23 13
37 76 17 10
38 67 74 12
39 7 75 20
40 55 72 18
41 89 13 17
42 28 24 14
43 54 6 6
44 94 81 1
45 59 79 3
46 54 68 1
47 28 89 13
48 1 46 20
49 21 97 7
50 4 95 18
51 76 29 4
52 23 50 17
53 60 2 8
54 79 31 2
55 37 8 20
56 65 50 4
57 17 51 2
58 62 78 3
59 62 80 20
60 17 17 8
61 65 90 4
62 81 98 9
63 2 53 15
64 8 12 18
65 57 14 16
66 93 37 18
67 56 72 17
68 66 13 19
69 42 17 16
70 85 97 18
71 5 97 6
72 4 78 12
73 42 42 7
74 89 49 2
75 96 67 5
76 26 59 15
77 13 22 17
78 27 92 5
79 11 68 5
80 47 54 13
81 58 8 12
82 59 52 20
83 90 81 11
84 37 7 12
85 21 5 19
86 68 29 20
87 35 39 2
88 79 49 15
89 46 87 5
90 48 84 1
91 78 67 8
92 46 84 6
93 100 18 17
94 17 76 12
95 13 20 18
96 2 19 3
97 73 56 12
98 55 31 2
99 6 16 16

