 100 10 120
0 9 8 8
1 86 64 16
2 90 48 9
3 68 41 12
4 20 31 15
5 72 59 5
6 12 36 3
7 37 35 10
8 23 90 12
9 45 58 16
10 12 25 3
11 44 95 15
12 34 43 20
13 34 18 2
14 36 32 5
15 58 72 12
16 69 88 5
17 3 32 20
18 44 32 6
19 24 34 20
20 87 27 19
21 36 57 3
22 65 43 3
23 31 98 6
24 7 15 4
25 35 83 5
26 21 96 2
27 91 85 10
28 93 6 10
29 42 47 20
30 19 9 7
31 49 41 1
32 1 98 20
33 74 94 18
34 12 45 19
35 1 85 14
36 6 62 15
37 82 72 5
38 32 70 16
39 38 10 11
40 85 75 13
41 28 81 15
42 86 2 14
43 4 25 8
44 84 36 13
45 76 62 18
46 26 57 8
47 76 39 18
48 35 86 14
49 5 31 2
50 83 80 11
51 63 94 9
52 60 16 12
53 44 49 11
54 75 85 11
55 17 34 4
56 32 69 11
57 22 51 11
58 79 73 17
59 73 23 16
60 10 37 11
61 34 2 8
62 77 52 13
63 2 9 16
64 39 52 18
65 32 9 20
66 61 52 3
67 80 26 2
68 23 69 12
69 33 72 9
70 21 27 8
71 84 41 8
72 63 46 8
73 41 79 5
74 89 59 10
75 97 48 12
76 68 14 14
77 93 41 6
78 58 48 10
79 43 3 6
80 28 42 11
81 23 81 18
82 69 100 18
83 27 4 10
84 63 98 15
85 43 58 7
86 66 11 5
87 7 15 12
88 38 1 9
89 43 33 16
90 21 37 17
91 78 29 15
92 45 67 10
93 11 90 10
94 23 68 15
95 71 84 1
96 54 51 9
97 73 86 16
98 46 86 5
99 83 15 9

