 100 10 120
0 2 4 17
1 98 70 18
2 88 78 5
3 20 49 6
4 14 77 17
5 19 47 6
6 77 38 7
7 54 53 2
8 98 13 12
9 41 47 15
10 40 63 11
11 44 98 13
12 16 60 13
13 44 43 6
14 35 56 7
15 18 47 5
16 93 29 10
17 24 7 20
18 7 23 9
19 86 12 4
20 64 33 3
21 15 8 14
22 11 7 2
23 17 18 1
24 32 68 6
25 72 97 14
26 62 68 18
27 83 62 17
28 55 40 4
29 30 86 7
30 2 5 16
31 76 69 17
32 46 38 17
33 23 26 8
34 82 24 15
35 91 36 2
36 89 42 20
37 84 72 8
38 69 50 4
39 75 73 19
40 79 86 20
41 99 51 9
42 68 79 1
43 52 37 8
44 79 56 17
45 41 10 7
46 60 77 3
47 12 61 19
48 97 37 3
49 70 75 1
50 67 22 5
51 65 72 15
52 77 1 12
53 98 87 20
54 26 93 13
55 76 14 12
56 15 42 9
57 28 43 5
58 89 93 14
59 53 49 9
60 89 46 15
61 57 25 12
62 39 27 16
63 16 64 16
64 10 18 16
65 53 29 12
66 25 19 6
67 31 68 16
68 94 44 3
69 94 76 6
70 14 71 2
71 8 81 12
72 45 96 11
73 83 34 3
74 66 67 10
75 78 19 17
76 66 86 13
77 26 15 7
78 23 22 3
79 25 71 20
80 82 60 14
81 81 81 5
82 22 78 3
83 2 72 14
84 87 38 18
85 79 34 11
86 19 31 17
87 3 67 13
88 5 95 19
89 6 6 3
90 41 18 19
91 12 71 5
92 71 88 16
93 61 37 2
94 50 39 12
95 15 22 11
96 36 27 6
97 79 52 13
98 28 21 14
99 85 29 8

