 100 10 120
0 17 14 1
1 86 33 15
2 46 54 7
3 11 62 15
4 58 45 2
5 94 14 8
6 100 24 1
7 55 29 16
8 18 65 11
9 38 55 14
10 29 9 4
11 64 44 20
12 26 14 20
13 28 92 9
14 51 17 8
15 55 32 2
16 32 55 6
17 99 13 3
18 72 6 13
19 60 97 17
20 37 29 8
21 58 55 13
22 79 15 6
23 89 70 20
24 95 2 2
25 38 44 6
26 1 81 10
27 35 97 4
28 79 14 9
29 82 83 15
30 28 55 3
31 81 73 12
32 16 12 16
33 37 80 17
34 18 15 12
35 31 17 5
36 96 81 15
37 71 23 4
38 50 66 10
39 68 92 9
40 42 72 15
41 10 95 20
42 68 36 10
43 13 70 11
44 54 18 15
45 86 36 18
46 75 70 11
47 22 39 17
48 25 48 4
49 19 47 7
50 9 9 3
51 88 53 1
52 13 91 2
53 98 40 18
54 79 73 19
55 68 30 10
56 96 76 14
57 99 25 14
58 77 29 3
59 25 89 4
60 89 28 11
61 7 53 17
62 54 59 5
63 97 33 3
64 30 54 2
65 69 89 2
66 62 17 8
67 73 74 1
68 33 23 13
69 59 38 15
70 74 84 8
71 95 5 18
72 15 40 11
73 58 15 6
74 67 12 1
75 78 15 20
76 88 19 1
77 66 48 4
78 68 67 8
79 51 43 12
80 21 42 11
81 18 40 14
82 85 65 9
83 7 82 13
84 69 13 13
85 27 64 19
86 86 91 3
87 85 23 6
88 71 13 9
89 45 4 15
90 65 34 9
91 60 45 16
92 22 40 19
93 41 45 4
94 67 89 15
95 60 45 7
96 6 47 16
97 98 97 14
98 80 76 15
99 93 19 20

