 100 10 120
0 17 71 8
1 56 13 5
2 40 29 10
3 53 6 20
4 45 25 15
5 82 65 16
6 47 80 8
7 60 70 6
8 39 65 20
9 67 93 2
10 84 6 13
11 86 18 3
12 80 42 18
13 82 34 17
14 20 95 20
15 85 75 8
16 10 90 9
17 73 100 18
18 15 36 17
19 65 51 6
20 57 46 7
21 73 12 12
22 58 65 1
23 84 73 3
24 35 51 8
25 38 73 15
26 70 89 2
27 70 56 13
28 7 63 7
29 93 90 9
30 77 14 7
31 55 18 18
32 17 45 6
33 4 38 14
34 57 64 14
35 26 45 9
36 93 62 9
37 63 68 7
38 48 90 18
39 100 94 10
40 17 59 13
41 100 57 8
42 29 81 3
43 15 39 9
44 69 44 19
45 4 4 15
46 69 61 9
47 39 67 11
48 29 58 1
49 70 69 12
50 46 82 17
51 99 10 10
52 59 39 8
53 61 55 5
54 32 11 8
55 28 25 18
56 46 84 9
57 88 33 10
58 50 14 13
59 35 21 15
60 18 99 4
61 14 18 8
62 95 30 19
63 83 21 3
64 28 48 4
65 74 74 6
66 29 34 20
67 98 77 2
68 4 92 9
69 6 79 4
70 45 9 3
71 91 20 12
72 73 23 12
73 17 23 10
74 90 94 13
75 97 63 7
76 48 93 4
77 53 55 13
78 72 37 10
79 37 40 17
80 86 36 10
81 94 67 2
82 22 39 5
83 95 91 11
84 19 82 7
85 68 34 7
86 36 89 7
87 16 95 16
88 45 67 5
89 84 86 18
90 72 99 11
91 25 41 20
92 96 36 9
93 80 26 19
94 34 25 15
95 57 43 13
96 71 38 13
97 92 100 13
98 7 86 3
99 14 6 8

