 100 10 120
0 6 29 4
1 84 85 11
2 44 25 7
3 27 68 4
4 45 43 19
5 55 89 16
6 64 73 1
7 80 85 1
8 53 52 10
9 29 46 17
10 22 22 13
11 99 87 16
12 51 22 19
13 17 49 19
14 76 63 3
15 94 38 9
16 5 23 7
17 29 70 12
18 38 84 19
19 30 69 3
20 7 87 6
21 37 45 19
22 55 60 3
23 73 53 7
24 16 75 6
25 57 96 7
26 69 28 8
27 53 33 2
28 79 29 7
29 46 6 4
30 41 71 20
31 54 87 8
32 7 13 19
33 30 28 6
34 41 76 8
35 15 39 6
36 36 59 18
37 33 47 5
38 10 6 7
39 51 11 3
40 38 99 19
41 38 78 8
42 94 48 12
43 98 25 15
44 19 94 3
45 64 13 20
46 37 69 12
47 70 45 11
48 73 56 9
49 55 10 6
50 55 56 9
51 38 59 5
52 10 58 10
53 99 25 18
54 68 54 8
55 31 11 4
56 52 53 12
57 58 87 8
58 6 98 19
59 44 74 14
60 97 68 19
61 15 20 6
62 86 37 20
63 84 69 2
64 56 6 9
65 50 7 13
66 51 52 10
67 14 20 12
68 49 34 6
69 21 97 7
70 83 69 3
71 31 66 9
72 81 67 16
73 77 55 11
74 85 68 20
75 57 3 4
76 79 49 17
77 78 61 4
78 27 75 16
79 44 78 8
80 2 19 10
81 44 42 16
82 65 65 2
83 9 27 13
84 17 83 18
85 17 65 1
86 29 41 10
87 78 52 15
88 44 69 12
89 39 51 20
90 76 21 11
91 55 44 6
92 74 81 19
93 58 56 20
94 16 10 8
95 1 52 8
96 49 45 18
97 45 77 9
98 2 70 19
99 44 92 12

