 100 10 120
0 13 11 4
1 36 98 6
2 18 51 18
3 39 1 13
4 89 88 9
5 33 36 7
6 6 80 2
7 46 82 3
8 21 78 12
9 92 56 15
10 21 17 14
11 4 70 17
12 80 79 10
13 31 5 15
14 93 24 16
15 56 52 7
16 50 72 15
17 1 23 1
18 8 69 9
19 42 16 18
20 62 78 14
21 47 6 18
22 22 79 15
23 10 84 13
24 51 59 13
25 37 63 16
26 11 38 6
27 13 41 17
28 36 60 19
29 62 65 8
30 24 32 5
31 65 57 17
32 9 5 18
33 5 87 18
34 65 30 5
35 66 1 10
36 51 21 15
37 77 47 14
38 91 18 3
39 3 51 10
40 63 23 4
41 19 38 8
42 27 69 2
43 8 98 9
44 19 27 14
45 81 49 18
46 1 63 20
47 99 39 17
48 30 17 9
49 62 89 4
50 96 45 17
51 75 74 5
52 36 54 17
53 21 95 4
54 27 29 5
55 92 82 7
56 14 23 2
57 60 38 13
58 28 51 20
59 99 6 20
60 100 33 1
61 70 27 13
62 65 56 19
63 49 21 9
64 35 53 20
65 51 99 1
66 61 35 6
67 76 100 12
68 28 96 3
69 96 5 12
70 47 5 8
71 39 73 3
72 39 43 20
73 50 97 6
74 28 35 5
75 38 82 6
76 78 17 18
77 30 94 5
78 63 8 19
79 97 23 9
80 25 92 1
81 20 61 6
82 77 32 13
83 17 93 11
84 66 56 14
85 35 61 3
86 76 1 4
87 96 19 19
88 55 7 9
89 44 19 5
90 93 85 3
91 19 87 15
92 84 4 14
93 76 68 7
94 45 79 5
95 15 65 4
96 80 49 3
97 86 92 5
98 13 81 20
99 88 17 14

